N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices
;4;CAPSICUM CAL. RED STD;COCO;GHU;ALDI;;;€ 1,00;;KG;;;19200850;2;2020.04.03;ALMERÍA;GHU 266;CROSS CARGO;B 138 PTI / AM 909 IO;€ 3 500;2020.04.07;;;;;
;2;CAPSICUM PALERMO STD;COCO;GHU;ALDI;;;€ 1,10;;KG;;;19200850;2;2020.04.03;ALMERÍA;GHU 266;CROSS CARGO;B 138 PTI / AM 909 IO;€ 3 500;2020.04.07;;;;;
;1;CAPSICUM GREEN SPICY;COSTA;GHU;GHUSZ;;;;;;;;01-7248;1;2020.04.03;ALMERÍA;GHU 266;CROSS CARGO;B 138 PTI / AM 909 IO;€ 3 500;2020.04.07;;;;;
;3;CAPSICUM CAL. RED STD;KOPALMERIA;GHU;ALDI;;;€ 0,95;;KG;;;01/003054;3;2020.04.03;ALMERÍA;GHU 266;CROSS CARGO;B 138 PTI / AM 909 IO;€ 3 500;2020.04.07;;;;;
5;;CUCUMBER SPANISH 5KG;KOPALMERIA;GHU;ALDI;;;€ 0,45;;KG;;;01/003054;3;2020.04.03;ALMERÍA;GHU 266;CROSS CARGO;B 138 PTI / AM 909 IO;€ 3 500;2020.04.07;;;;;
30;;SPAR HU;AGESCO;AGESCO;SPAR HU;TUESDAY NIGHT;;;;;;;;;2020.04.03;HUELVA;H131;DERBY TRANS;PNK 669 / WBC 537;€ 4 000;2020.04.07;;;;;
1;;MANDARIN;FRUBALMED;GHU;;;;;;;;;58/AL20;;2020.04.03;HUELVA;H131;DERBY TRANS;PNK 669 / WBC 537;€ 4 000;2020.04.07;;;;;
;0,6;RASPBERRY;FRESSAN;GHU;ALDI;;;;;;;;;1;2020.04.03;HUELVA;H131;DERBY TRANS;PNK 669 / WBC 537;€ 4 000;2020.04.07;;;;;
;0,4;BLUEBERRY;FRESSAN;GHU;ALDI;;;;;;;;;1;2020.04.03;HUELVA;H131;DERBY TRANS;PNK 669 / WBC 537;€ 4 000;2020.04.07;;;;;
6;;SPAR HU BICSKE 165;KOPFSALAT;KOPFSALAT;WEDNESDAY NIGHT;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
7;;SPAR HU ÜLLŐ 166;KOPFSALAT;KOPFSALAT;WEDNESDAY NIGHT;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
12;;SPAR HU;AGESCO;AGESCO;WEDNESDAY NIGHT;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
5;;TESCO HU 119;KOPFSALAT;KOPFSALAT;THURSDAY NIGHT;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
;0,8;STRAWBERRY 1KG;FRESSAN;GHU;;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
;0,7;BLUEBERRY 125GR;FRESSAN;GHU;;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
;0,5;RASPBERRY 125GR;FRESSAN;GHU;;;;;;;;;;;2020.04.04;MURCIA;H132;SCANTRANS;RFC 399 / WCZ 463;€ 3 000;2020.04.08;;;;;
30;;PENNY GERMANY;EUROGROUP;EUROGROUP;EUROGROUP GERMANY ;;;;;;;;;;2020.04.04;FELSŐPAKONY;EX002;STI;PEG 015 / WBX 931;€ 1 120;2020.04.05;;;;;
3;;TESCO HU 119/A;KOPFSALAT;KOPFSALAT;TESCO HU 119/A;THURSDAY NIGHT;;;;;;;;;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
4;2;CAPSICUM PALERMO STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
6;;CUCUMBER DUTCH I FILM 14PZS;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
3;;AUBERGINE I IFCO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
;1;CAPSICUM CORNO WHITE STD;KOPFSALAT;GHU;GHUSZ;;;;;;;;;;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
;6;CAPSICUM CAL. RED I;COCO;GHU;ALDI;;;€ 1,25;;KG;;;19200859;1;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
;4;CUCUMBER SPANISH 5KG;KOPALMERIA;GHU;ALDI;;;€ 0,45;;KG;;;01/003073;2;2020.04.04;ALMERÍA;GHU 267;SERGIO;CJ 21 HRM / R 8789 BBF;€ 4 200;2020.04.07;;;;;
;3;COURGETTES;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.06;BARCELONA;GHU 268;BILEK LEVI;RGV 950 / WBT 960;€ 300;2020.04.08;;;;;
;1;CAPSICUM PALERMO RED II;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.06;ALMERIA;GHU 269;LIVIU;BH 78 CDL / CJ 39 CDL;€ 600;2020.04.09;;;;;
;2;CAPSICUM PALERMO RED I;HORTICHUELAS;GHU;ALDI;;;€ 2,00;;KG;;;01/ 017659;1;2020.04.06;ALMERIA;GHU 269;LIVIU;BH 78 CDL / CJ 39 CDL;€ 600;2020.04.09;;;;;
;1;CAPSICUM PALERMO STD;HORTICHUELAS;GHU;ALDI;;;€ 1,10;;KG;;;01/ 017659;1;2020.04.06;ALMERIA;GHU 269;LIVIU;BH 78 CDL / CJ 39 CDL;€ 600;2020.04.09;;;;;
1;;CAPSICUM CAL. RED II;KOPALMERIA;GHU;ALDI;;;;;;;;01/003090;2;2020.04.06;ALMERIA;GHU 269;LIVIU;BH 78 CDL / CJ 39 CDL;€ 600;2020.04.09;;;;;
27;;SPAR HU;AGESCO;AGESCO;SPAR HU;FRIDAY NIGHT;;;;;;;;;2020.04.06;MURCIA;H133;KÓNYA;RCG 083 / WDA 626;€ 3 000;2020.04.10;;;;;
2;;LEMON 400GR;AXARFRUIT;GHU;SPAR HU;;;€ 0,68;;PZS;;;2012;1;2020.04.06;MURCIA;H133;KÓNYA;RCG 083 / WDA 626;€ 3 000;2020.04.10;;;;;
4;;MANDARIN 10X900GR IFCO;FRUBALMED;GHU;ALDI;;;€ 1,00;;PZS;;;60/AL20;;2020.04.06;MURCIA;H133;KÓNYA;RCG 083 / WDA 626;€ 3 000;2020.04.10;;;;;
6;;SPAR HU BICSKE 167;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 167;FRIDAY NIGHT;;;;;;;;;2020.04.07;ALMERIA;H134;KÓNYA;RRJ 470 / WEH 572;€ 3 500;2020.04.10;;;;;
7;;SPAR HU ÜLLŐ 168;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 168;FRIDAY NIGHT;;;;;;;;;2020.04.07;ALMERIA;H134;KÓNYA;RRJ 470 / WEH 572;€ 3 500;2020.04.10;;;;;
;8;CELERY;AGESCO;GHU;;;;;;;;;003/022000994;;2020.04.07;ALMERIA;H134;KÓNYA;RRJ 470 / WEH 572;€ 3 500;2020.04.10;;;;;
;5;CAPSICUM CAL RED STD;KOPALMERIA;GHU;ALDI;;;€ 1,00;;KG;;;01/003102;1;2020.04.07;ALMERIA;H134;KÓNYA;RRJ 470 / WEH 572;€ 3 500;2020.04.10;;;;;
;3;CUCUMBER SPANISH;KOPALMERIA;GHU;ALDI;;;€ 0,45;;KG;;;01/003102;1;2020.04.07;ALMERIA;H134;KÓNYA;RRJ 470 / WEH 572;€ 3 500;2020.04.10;;;;;
5;;TESCO HU 120;KOPFSALAT;KOPFSALAT;TESCO HU 120;SUNDAY NIGHT;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
3;;TESCO HU 121;KOPFSALAT;KOPFSALAT;TESCO HU 121;MONDAY NIGHT;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
8;;CUCUMBER DUTCH I FILM;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
;4;CAPSICUM CAL. RED STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
;1;CAPSICUM WHITE STD;KOPFSALAT;GHU;PARTNERLOG;;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
;1;TOM. CHERRY ROUND 9X250GR;KOPFSALAT;GHU;PARTNERLOG;;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
;1;TOM. CHERRY PEAR SNACK 12X250GR;KOPFSALAT;GHU;PARTNERLOG;;;;;;;;;;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
;5;CAPSICUM CAL. RED STD;COCO;GHU;ALDI;;;€ 1,15;;KG;;;19200877;1;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
;1;CAPSICUM CAL. RED STD;KOPALMERIA;GHU;ALDI;;;€ 1,00;;KG;;;01/003116;2;2020.04.08;ALMERIA;GHU 270;KÓNYA;PDN 709 / WCK 440;€ 3 500;2020.04.10;;;;;
17;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;MONDAY;;;;;;;;;2020.04.09;HUELVA;H135;KUONI;MBY 936 / WBZ 417;€ 4 000;2020.04.13;;;;;
9;;SPAR HU;AGESCO;AGESCO;SPAR HU;MONDAY NIGHT;;;;;;;;;2020.04.09;HUELVA;H135;KUONI;MBY 936 / WBZ 417;€ 4 000;2020.04.13;;;;;
;2;NECTARINA 10KG;FRUBALMED;GHU;ALDI;;;€ 1,50;;KG;;;63/AL20;;2020.04.09;HUELVA;H135;KUONI;MBY 936 / WBZ 417;€ 4 000;2020.04.13;;;;;
;0,5;STRAWBERRY 1KG;FRESSAN;GHU;ALDI;2. CMR;;€ 1,90;;KG;;;;1;2020.04.09;HUELVA;H135;KUONI;MBY 936 / WBZ 417;€ 4 000;2020.04.13;;;;;
;0,5;RASPBERRY 12X125GR;FRESSAN;GHU;ALDI;2. CMR;;€ 6,90;;KG;;;;1;2020.04.09;HUELVA;H135;KUONI;MBY 936 / WBZ 417;€ 4 000;2020.04.13;;;;;
;2;BLUEBERRY 12X125GR;FRESSAN;GHU;ALDI;2. CMR;;€ 5,30;;KG;;;;1;2020.04.09;HUELVA;H135;KUONI;MBY 936 / WBZ 417;€ 4 000;2020.04.13;;;;;
3;;LEMON 400 GR;AXARFRUIT;GHU;SPAR HU;;;€ 0,65;;PZS;;;2097;3;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
0,4;;MANGO 12PZS;AXARFRUIT;GHU;PARTNERLOG;;;€ 4,00;;CAJA;;;2108;3;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
0,6;;AVOCADO 20PZS;AXARFRUIT;GHU;PARTNERLOG;;;€ 5,50;;CAJA;;;2108;3;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;9;CAPSICUM PALERMO IFCO;COCO;GHU;ALDI;;;€ 2,00;;KG;;;19200884;1;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;1;CAPSICUM PALERMO STD;COCO;GHU;ALDI;;;€ 1,10;;KG;;;19200884;1;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;2;CAPSICUM CAL. RED STD;COCO;GHU;ALDI;;;€ 1,00;;KG;;;19200884;1;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;0,5;CAPSICUM PALERMO I;HORTICHUELAS;GHU;ALDI;;;€ 2,10;;KG;;;01/ 017898;2;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;4,5;CAPSICUM PALERMO STD;HORTICHUELAS;GHU;ALDI;;;€ 1,10;;KG;;;01/ 017898;2;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;1;CAPSICUM CAL. RED STD;HORTICHUELAS;GHU;ALDI;;;€ 1,50;;KG;;;01/ 017898;2;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;1;TOM. CHERRY LOOSE;HORTICHUELAS;SZENTESI;;;;;;;;;;;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;4;LETTUCE ICEBERG 12PZS;AGESCO;GHU;PARTNERLOG;;;€ 4,50;;CAJA;;;003/022001000;;2020.04.09;ALMERIA;H136;KÓNYA;RSJ 409 / WDA 627;€ 3 500;2020.04.11;;;;;
;5,5;COURGETTE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
;1;CAPSICUM CAL. RED I;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
;2;LEMON;KOPFSALAT;GHU;GHUBU;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
;1;NECTARINA 10KG;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
;1;CAPSICUM KAPIA STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
;1;CAPSICUM KAPIA I LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
;0,5;NECTARINA STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.09;BARCELONA;GHU 272;BILEK LEVI;NSE 946 / WBG 946;€ 1 200;2020.04.12;;;;;
6;;SPAR HU;AGESCO;AGESCO;SPAR HU;MONDAY NIGHT; 3 600    ;;;;;;;;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
5;;MANDARIN 10KG;FRUBALMED;GHU;PARTNERLOG;; 4 320    ;€ 0,70;;KG;;;62/AL20;1;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
1;;MANDARIN 9KG;FRUBALMED;GHU;PARTNERLOG;;;€ 0,70;;KG;;;62/AL20;1;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;8;ORANGE STD;FRUBALMED;GHU;GHUBU/GHUSZ;; 8 640    ;€ 0,52;;KG;;;61/AL20;1;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;1;ORANGE I;FRUBALMED;GHU;GHUBU;;;€ 0,85;;KG;;;61/AL20;1;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;0,5;STRAWBERRY 1KG;FRESSAN;GHU;ALDI;1. CMR; 1 100    ;€ 1,90;;KG;;;;2;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;0,5;RASPBERRY 12X125GR;FRESSAN;GHU;ALDI;1. CMR;;€ 6,90;;KG;;;;2;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;1;BLUEBERRY 12X125GR;FRESSAN;GHU;ALDI;1. CMR;;€ 5,30;;KG;;;;2;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
1;;LEMON;KOPFSALAT;GHU;GHUBU;; 700    ;;;;;;;;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;3;LETTUCE ICEBERG 10PZS;KOPFSALAT;GHU;GHUBU/GHUSZ;; 1 350    ;;;;;;;;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
;2;CAPSICUM KAPIA STD;KOPFSALAT;GHU;ALDI;; 1 300    ;;;;;;;;2020.04.09;VALENCIA;GHU 273;KÓNYA;RCG 082 / WEH 574;€ 2 800;2020.04.13;;;;;
6;;SPAR CRO 088;KOPFSALAT;KOPFSALAT;SPAR CRO 088;TUESDAY MORNING;;;;;;;;;2020.04.10;PERPIGNAN;LOG089;GRUPO NATURAL;KP ZR 375 / KP CU 224;€ 660;2020.04.14;;;;;
6;;SPAR HU BICSKE 169;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 169;MONDAY NIGHT;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
8;;SPAR HU ÜLLŐ 170;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 170;MONDAY NIGHT;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;2;AUBERGINE (PLASTIC BOX);KOPFSALAT;GHU;PARTNERLOG / GHUSZ;;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
4;;AUBERGINE I IFCO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
1;;CAPSICUM CAL. RED STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;2;CAPSICUM PALERMO STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;1;TOM. PEAR STD;KOPFSALAT;GHU;GHUSZ/GHUBU;;;;;;;;;;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;3;CAPSICUM CAL. RED STD;KOPALMERIA;GHU;ALDI;;;€ 1,00;;KG;;;01/003121;3;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;2;CAPSICUM PALERMO STD PLASTIC;COSTA;GHU;ALDI;;;;;;;;9 - 11999;1;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;1;CAPSICUM KAPIA I;DELGAFRUITS;GHU;ALDI;;;€ 1,55;;KG;;;3940;2;2020.04.10;BARCELONA;GHU 271;DÓRI;LYN 545 / MZ 239;€ 2 450;2020.04.13;;;;;
;1;AUBERGINE (PLASTIC BOX);KOPFSALAT;GHU;PARTNERLOG / GHUSZ;; 700    ;;;;;;;;2020.04.11;ALMERIA;GHU 274;CROSS CARGO;CV 29 BKL / AM 485 IN;€ 3 500;2020.04.14;;;;;
2;;CAPSICUM PALERMO STD;KOPFSALAT;GHU;ALDI;; 968    ;;;;;;;;2020.04.11;ALMERIA;GHU 274;CROSS CARGO;CV 29 BKL / AM 485 IN;€ 3 500;2020.04.14;;;;;
3;;TOM. PEAR MMM;KOPFSALAT;GHU;GHUSZ;; 2 340    ;€ 1,20;;KG;;;;;2020.04.11;ALMERIA;GHU 274;CROSS CARGO;CV 29 BKL / AM 485 IN;€ 3 500;2020.04.14;;;;;
;2;TOM. PEAR STD MM;KOPFSALAT;GHU;GHUBU;; 1 840    ;€ 0,50;;KG;;;;;2020.04.11;ALMERIA;GHU 274;CROSS CARGO;CV 29 BKL / AM 485 IN;€ 3 500;2020.04.14;;;;;
;4;COURGETTE STD IFCO;ESCOBI;GHU;ALDI;; 3 320    ;€ 1,20;;KG;;;A20-9789;1;2020.04.11;ALMERIA;GHU 274;CROSS CARGO;CV 29 BKL / AM 485 IN;€ 3 500;2020.04.14;;;;;
;15;CUCUMBER SPANISH;KOPALMERIA;GHU;ALDI;; 12 375    ;€ 0,50;;KG;;;01/003138;2;2020.04.11;ALMERIA;GHU 274;CROSS CARGO;CV 29 BKL / AM 485 IN;€ 3 500;2020.04.14;;;;;
6;;SPAR HU BICSKE 171;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 171;WEDNESDAY NIGHT;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
7;;SPAR HU ÜLLŐ 172;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 172;WEDNESDAY NIGHT;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
5;;SPAR CRO 089;KOPFSALAT;KOPFSALAT;SPAR CRO 089;THURSDAY MORNING;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
4;2;SPAR SLO 017;KOPFSALAT;KOPFSALAT;SPAR SLO 017;WEDNESDAY MORNING;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
2;;TESCO HU 122;KOPFSALAT;KOPFSALAT;TESCO HU 122;TUESDAY;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
3;;TESCO HU 123;KOPFSALAT;KOPFSALAT;TESCO HU 123;WEDNESDAY;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
2;;TESCO HU 124;KOPFSALAT;KOPFSALAT;TESCO HU 124;THURSDAY;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
1;;LEMON;KOPFSALAT;GHU;GHUBU;;;;;;;;;;2020.04.13;BARCELONA;GHU 275;KÓNYA;RCG 082 / WDK 954;€ 2 500;2020.04.15;;;;;
4;;TESCO HU 125;KOPFSALAT;KOPFSALAT;TESCO HU 125;FRIDAY;;;;;;;;;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
8;;SPAR HU;AGESCO;AGESCO;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;2;TOM. CHERRY;HORTICHUELAS;SZENTESI;;;;;;;;;;;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;1;CAPSICUM RED PLASTIC;COSTA;SZENTESI;;;;;;;;;;;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
3;;LEMON 10X400GR;AXARFRUIT;GHU;SPAR HU;;;€ 0,68;;PZS;;;2109;1;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;3;BLUEBERRY 12X125GR;FRESSAN;GHU;ALDI;;;€ 5,50;;KG;;;;3;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;0,5;STRAWBERRY 1KG;FRESSAN;GHU;ALDI;;;€ 2,10;;KG;;;;3;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;1,5;RASPBERRY 12X125GR;FRESSAN;GHU;ALDI;;;€ 7,10;;KG;;;;3;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;4;CAPSICUM CAL. RED STD;KOPALMERIA;GHU;ALDI;;;€ 1,30;;KG;;;01/003169;2;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;1;COURGETTE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
;1;CAPSICUM WHITE STD;KOPFSALAT;GHU;GHUSZ/PARTNERLOG;;;;;;;;;;2020.04.14;BARCELONA;GHU 276;KÓNYA;RSJ 407 / WCG 914;€ 2 400;2020.04.15;;;;;
4;;SPAR HU BICSKE 173;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 173;FRIDAY NIGHT;;;;;;;;;2020.04.14;ALMERIA;H137;KÓNYA;RCG 084 / WED 152;€ 3 400;2020.04.17;;;;;
5;;SPAR HU ÜLLŐ 174;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 174;FRIDAY NIGHT;;;;;;;;;2020.04.14;ALMERIA;H137;KÓNYA;RCG 084 / WED 152;€ 3 400;2020.04.17;;;;;
;2;CAPSICUM PALERMO STD;COCO;GHU;ALDI;;;€ 1,15;;KG;;;19200906;2;2020.04.14;ALMERIA;H137;KÓNYA;RCG 084 / WED 152;€ 3 400;2020.04.17;;;;;
;4;CAPSICUM CAL. RED STD;COCO;GHU;ALDI;;;€ 1,15;;KG;;;19200906;2;2020.04.14;ALMERIA;H137;KÓNYA;RCG 084 / WED 152;€ 3 400;2020.04.17;;;;;
;6;CAPSICUM CAL. RED STD;KOPALMERIA;GHU;ALDI;;;€ 1,30;;KG;;;01/003203;3;2020.04.14;ALMERIA;H137;KÓNYA;RCG 084 / WED 152;€ 3 400;2020.04.17;;;;;
