N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
1;;SPAR CRO;GRUPO NATURAL;GRUPO NATURAL;SPAR CRO;WEDNESDAY MORNING;;;;;;;;;2021.01.04;BARCELONA;LOG053;CSÍK ZOLI;NTS 871 / WBC 539;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
2,5;;SPAR HU BICSKE  V/727;AGESCO;AGESCO;SPAR HU BICSKE V/727;WEDNESDAY NIGHT;;;;;;;;;2021.01.04;BARCELONA;LOG053;CSÍK ZOLI;NTS 871 / WBC 539;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
2,5;;SPAR HU ÜLLŐ V/726;AGESCO;AGESCO;SPAR HU ÜLLŐ V/726;WEDNESDAY NIGHT;;;;;;;;;2021.01.04;BARCELONA;LOG053;CSÍK ZOLI;NTS 871 / WBC 539;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
3,5;;SPAR HU BICSKE ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU BICSKE ;WEDNESDAY NIGHT;;;;;;;;;2021.01.04;BARCELONA;LOG053;CSÍK ZOLI;NTS 871 / WBC 539;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
5,5;;SPAR HU ÜLLŐ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU ÜLLŐ;WEDNESDAY NIGHT;;;;;;;;;2021.01.04;BARCELONA;LOG053;CSÍK ZOLI;NTS 871 / WBC 539;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
12;;TESCO HU 104;KOPFSALAT;KOPFSALAT;TESCO HU 104;WEDNESDAY;;;;;;;;;2021.01.04;BARCELONA;LOG053;CSÍK ZOLI;NTS 871 / WBC 539;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
15,5;;SPAR HU BICSKE V/728;AGESCO;AGESCO;SPAR HU BICSKE V/728;WEDNESDAY NIGHT;;;;;;;;;2021.01.04;BARCELONA;LOG054;CSÍK ZOLI;SJY 212 / XZP 327;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
17,5;;SPAR HU ÜLLŐ V/729;AGESCO;AGESCO;SPAR HU ÜLLŐ V/729;WEDNESDAY NIGHT;;;;;;;;;2021.01.04;BARCELONA;LOG054;CSÍK ZOLI;SJY 212 / XZP 327;€ 4 000;2021.01.06;;;;;;;;;;;;;;;;
13;;SPAR HU BICSKE 101;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 101;SATURDAY NIGHT;;;;;;;;;2021.01.04;ALMERIA;H060;VASKÓ;PEE 506 / WFC 151;€ 3 600;2021.01.07;;;;;;;;;;;;;;;;
18;;SPAR HU ÜLLŐ 102;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 102;SATURDAY NIGHT;;;;;;;;;2021.01.04;ALMERIA;H060;VASKÓ;PEE 506 / WFC 151;€ 3 600;2021.01.07;;;;;;;;;;;;;;;;
2;;BIO CUCUMBER DUTCH 12PZS;KOPALMERIA;GHU;ALDI;MONDAY UP ALMERIA;;€ 0,40;;PZS;;;KOP053-01/1600;;2021.01.04;ALMERIA;H060;VASKÓ;PEE 506 / WFC 151;€ 3 600;2021.01.07;;;;;;;;;;;;;;;;
4;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;FRIDAY MORNING;;;;;€ 0,00; € -   ;SIGR;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
6;;SPAR CRO 045;KOPFSALAT;KOPFSALAT;SPAR CRO 045;FRIDAY MORNING;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
3;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;FRIDAY MORNING;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
2;;SPAR CRO;EUROCASTELL;EUROCASTELL;SPAR CRO;FRIDAY MORNING;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
4;;SPAR HU BICSKE ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU BICSKE ;SATURDAY NIGHT;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
5;;SPAR HU ÜLLŐ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU ÜLLŐ;SATURDAY NIGHT;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
3,5;;SPAR HU BICSKE V/760;AGESCO;AGESCO;SPAR HU BICSKE V/760;SATURDAY NIGHT;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
5,5;;SPAR HU ÜLLŐ V/759;AGESCO;AGESCO;SPAR HU ÜLLŐ V/759;SATURDAY NIGHT;;;;;;;;;2021.01.05;BARCELONA;LOG055;KERMOR;NMX 750 / WDV 779;€ 3 000;2021.01.08;;;;;;;;;;;;;;;;
27,5;;TESCO HU 106;KOPFSALAT;KOPFSALAT;TESCO HU 106;FRIDAY;;;;;;;;;2021.01.05;ALMERIA;GHU 106;BVT;PSG 250 / WAN 721;€ 3 700;2021.01.08;;;;;;;;;;;;;;;;
2,5;;CUCUMBER DUTCH STD FILM;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.05;ALMERIA;GHU 106;BVT;PSG 250 / WAN 721;€ 3 700;2021.01.08;;;;;;;;;;;;;;;;
1,5;;CUCUMBER DUTCH II;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.05;ALMERIA;GHU 106;BVT;PSG 250 / WAN 721;€ 3 700;2021.01.08;;;;;;;;;;;;;;;;
0,5;;CUCUMBER DUTCH I FILM;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.05;ALMERIA;GHU 106;BVT;PSG 250 / WAN 721;€ 3 700;2021.01.08;;;;;;;;;;;;;;;;
1;;BIO CUCUMBER DUTCH 12PZS;KOPALMERIA;GHU;ALDI;TUESDAY UP ALMERIA;;€ 0,40;;PZS;€ 0,00; € -   ;KOP054-01/1620;1;2021.01.05;ALMERIA;GHU 106;BVT;PSG 250 / WAN 721;€ 3 700;2021.01.08;;;;;;;;;;;;;;;;
4;;SPAR HU BICSKE V/762;AGESCO;AGESCO;SPAR HU BICSKE V/762;SATURDAY NIGHT;;;;;;;;;2021.01.05;BARCELONA;GHU 108;KERMOR;NLW 045 / XZS 117;€ 2 900;2021.01.07;;;;;;;;;;;;;;;;
6;;SPAR HU ÜLLŐ V/761;AGESCO;AGESCO;SPAR HU ÜLLŐ V/761;SATURDAY NIGHT;;;;;;;;;2021.01.05;BARCELONA;GHU 108;KERMOR;NLW 045 / XZS 117;€ 2 900;2021.01.07;;;;;;;;;;;;;;;;
22;;TESCO HU 105;KOPFSALAT;KOPFSALAT;TESCO HU 105;THURSDAY;;;;;;;;;2021.01.05;BARCELONA;GHU 108;KERMOR;NLW 045 / XZS 117;€ 2 900;2021.01.07;;;;;;;;;;;;;;;;
1;;MANDARIN;KOPFSALAT;GHU;GHUSZ;;;;;;;;;;2021.01.05;BARCELONA;GHU 108;KERMOR;NLW 045 / XZS 117;€ 2 900;2021.01.07;;;;;;;;;;;;;;;;
;13;CAPSICUM CAL. RED I;MK FRESH;GHU;ALDI;;;;;;;;;;2021.01.06;MAROKKÓ;H064;MK FRESH;58820 A 34 / 79107;€ 0;2021.01.11;;;;;;;;;;;;;;;;
;9;COURGETTE;MK FRESH;GHU;ALDI;;;;;;;;;;2021.01.06;MAROKKÓ;H064;MK FRESH;58820 A 34 / 79107;€ 0;2021.01.11;;;;;;;;;;;;;;;;
;4;CAPSICUM CORNO WHITE I;MK FRESH;GHU;TESCO;;;;;;;;;;2021.01.06;MAROKKÓ;H064;MK FRESH;58820 A 34 / 79107;€ 0;2021.01.11;;;;;;;;;;;;;;;;
;2;CAPSICUM PALERMO II;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
5;;TOM PEAR PACKAGE 10*500 GR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
;3;CAPSICUM PALERMO II;COCO;GHU;GHUBU/GHUSZ;THURSDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;COC009-A20-98;3;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
;10;CAPSICUM CAL. RED I;COCO;GHU;ALDI;THURSDAY UP ALMERIA;;€ 0,95;;KG;€ 0,00; € -   ;COC009-A20-98;3;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
5;;CUCUMBER DUTCH I FILM 14PZS;KOPALMERIA;GHU;ALDI;THURSDAY UP ALMERIA;;€ 0,17;;PZS;€ 0,00; € -   ;KOP055-01/1649;1;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
3;;BIO CUCUMBER DUTCH 12PZS;KOPALMERIA;GHU;ALDI;THURSDAY UP ALMERIA;;€ 0,45;;PZS;€ 0,00;€ 0,00;KOP055-01/1650;1;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
;0,5;CAPSICUM CORNO WHITE II;COSTA;GHU;GHUBU/GHUSZ;THURSDAY UP ALMERIA;;€ 0,85;;KG;€ 0,00;€ 0,00;COS022-06-986;2;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
;0,5;CAPSICUM PALERMO II;COSTA;GHU;GHUBU/GHUSZ;THURSDAY UP ALMERIA;;€ 0,86;;KG;€ 0,00;€ 0,00;COS022-06-986;2;2021.01.07;ALMERIA;GHU 109;KUONI;SKS 309 / XZM 875;€ 3 600;2021.01.09;;;;;;;;;;;;;;;;
;1;CAPSICUM CORNO WHITE I;KOPFSALAT;KOPFSALAT;TESCO 003/STK;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
;6;CAPSICUM KAPIA I;FAUS DURA;KOPFSALAT;TESCO;THURSDAY UP PERPIGNAN;;€ 0,95;;;€ 0,00; € -   ;FAU005-;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
;1;CAPSICUM KAPIA II;KOPFSALAT;KOPFSALAT;ALDI/GHUBU/GHUSZ;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
3;;CAPSICUM CAL. RED II;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
3;1;AUBERGINE II;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
;4;TOM. PEAR MMM;KOPFSALAT;GHU;GHUBU/GHUSZ/ZSOLTI;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
;5;COURGETTE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
;2;MANDARIN;KOPFSALAT;GHU;GHUBU/GHUSZ/ZSOLTI;;;;;;;;;;2021.01.07;BARCELONA;GHU 107;KÓNYA;SFB 843 / WEW 302;€ 2 200;2021.01.09;;;;;;;;;;;;;;;;
0,5;;SPAR HU BICSKE V/758;AGESCO;AGESCO;SPAR HU BICSKE V/758;SATURDAY NIGHT;;;;;;;;;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
0,5;;SPAR HU ÜLLŐ V/757;AGESCO;AGESCO;SPAR HU ÜLLŐ V/757 ;SATURDAY NIGHT;;;;;;;;;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
1;;SPAR HU BICSKE ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU BICSKE ;SATURDAY NIGHT;;;;;;;;;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
1;;SPAR HU ÜLLŐ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU ÜLLŐ;SATURDAY NIGHT;;;;;;;;;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
;4;ORANGE STD;FRUBALMED;GHU;GHUBU/GHUSZ;THURSDAY UP VALENCIA;;€ 0,46;;KG;;;FRU060-3/AL21;1;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
11;;MANDARIN 900GR;FRUBALMED;GHU;ALDI;THURSDAY UP VALENCIA;;€ 0,85;;PZS;;;FRU060-2/AL21, 4/AL21;1;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
6;;MANDARIN 2,3KG;FRUBALMED;GHU;ALDI;THURSDAY UP VALENCIA;;€ 1,65;;PZS;;;FRU060-2/AL21;1;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
8;;CELERY IFCO;AGESCO;GHU;ALDI;THURSDAY UP MURCIA;;€ 0,40;;PZS;;;AGE012-V/764;;2021.01.07;MURCIA;H061;KÓNYA;NUS 386 / WEH 571;€ 2 800;2021.01.09;;;;;;;;;;;;;;;;
10;;SPAR HU BICSKE 103;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 103;MONDAY NIGHT;;;;;;;;;2021.01.08;BARCELONA;H063;KÓNYA;RGV 950 / WEH 535;€ 2 200;2021.01.10;;;;;;;;;;;;;;;;
18;;TESCO HU 109;KOPFSALAT;KOPFSALAT;TESCO HU 109;TUESDAY;;;;;;;;;2021.01.08;BARCELONA;H063;KÓNYA;RGV 950 / WEH 535;€ 2 200;2021.01.10;;;;;;;;;;;;;;;;
;2;CAPSICUM KAPIA I;FAUS DURA;KOPFSALAT;TESCO;;;€ 1,00;;KG;€ 0,00; € -   ;FAU006-;;2021.01.08;BARCELONA;H063;KÓNYA;RGV 950 / WEH 535;€ 2 200;2021.01.10;;;;;;;;;;;;;;;;
1;1;COURGETTE;FAUS DURA;GHU;ALDI;FRIDAY UP PERPIGNAN;;€ 1,00;;KG;€ 0,00; € -   ;FAU006-BL0008458, BL 0008456;;2021.01.08;BARCELONA;H063;KÓNYA;RGV 950 / WEH 535;€ 2 200;2021.01.10;;;;;;;;;;;;;;;;
7;;SPAR CRO 046;KOPFSALAT;KOPFSALAT;SPAR CRO 046;MONDAY MORNING;;;;;;;;;2021.01.08;BARCELONA;LOG056;KUONI;RYM 309 / WEM 617;€ 2 600;2021.01.11;;;;;;;;;;;;;;;;
1;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;MONDAY MORNING;;;;;;;;;2021.01.08;BARCELONA;LOG056;KUONI;RYM 309 / WEM 617;€ 2 600;2021.01.11;;;;;;;;;;;;;;;;
7;;SPAR CRO;GRUPO NATURAL;GRUPO NATURAL;SPAR CRO;MONDAY MORNING;;;;;;;;;2021.01.08;BARCELONA;LOG056;KUONI;RYM 309 / WEM 617;€ 2 600;2021.01.11;;;;;;;;;;;;;;;;
2;;SPAR CRO;EUROCASTELL;EUROCASTELL;SPAR CRO;MONDAY MORNING;;;;;€ 8,50;;;;2021.01.08;BARCELONA;LOG056;KUONI;RYM 309 / WEM 617;€ 2 600;2021.01.11;;;;;;;;;;;;;;;;
6;;SPAR HU BICSKE ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU BICSKE ;MONDAY NIGHT;;;;;;;;;2021.01.08;BARCELONA;LOG056;KUONI;RYM 309 / WEM 617;€ 2 600;2021.01.11;;;;;;;;;;;;;;;;
10;;SPAR HU ÜLLŐ;GRUPO NATURAL;GRUPO NATURAL;SPAR HU ÜLLŐ;MONDAY NIGHT;;;;;;;;;2021.01.08;BARCELONA;LOG056;KUONI;RYM 309 / WEM 617;€ 2 600;2021.01.11;;;;;;;;;;;;;;;;
8;;SPAR SLO 006;KOPFSALAT;KOPFSALAT;SPAR SLO 006;MONDAY MORNING;;;;;;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
2;;SPAR SLO;AGESCO;AGESCO;SPAR SLO;MONDAY MORNING;;;;;;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
10;;SPAR HU BICSKE V/774;AGESCO;AGESCO;SPAR HU BICSKE V/774;MONDAY NIGHT;;;;;;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
9;;SPAR HU ÜLLŐ V/773;AGESCO;AGESCO;SPAR HU V/773;MONDAY NIGHT;;;;;;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
1;;SPAR HU BICSKE MA21-000267;EUROCASTELL;EUROCASTELL;SPAR HU BICSKE MA21-000267;MONDAY NIGHT;;;;;€ 8,50;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
1;;SPAR HU ÜLLŐ MA21-000265;EUROCASTELL;EUROCASTELL;SPAR HU ÜLLŐ MA21-000265;MONDAY NIGHT;;;;;€ 8,50;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
1;;TESCO HU 108/A;KOPFSALAT;KOPFSALAT;TESCO HU 108/A;MONDAY;;;;;;;;;2021.01.08;BARCELONA;LOG057;SERGIO;BN 85 JJC / BN 33 YUS;€ 2 650;2021.01.11;;;;;;;;;;;;;;;;
17;;TESCO HU 107;KOPFSALAT;KOPFSALAT;TESCO HU 107;SUNDAY ;;;;;;;;;2021.01.08;BARCELONA;LOG058;SERGIO;SB 16 HRM / R 5147 BCB;€ 2 600;2021.01.10;;;;;;;;;;;;;;;;
16;;TESCO HU 108;KOPFSALAT;KOPFSALAT;TESCO HU 108;MONDAY;;;;;;;;;2021.01.08;BARCELONA;LOG058;SERGIO;SB 16 HRM / R 5147 BCB;€ 2 600;2021.01.10;;;;;;;;;;;;;;;;
13;;SPAR HU ÜLLŐ 104;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 104;MONDAY NIGHT;;;;;;;;;2021.01.08;ALMERIA;LOG059;LIVIU;BH 78 CDL / B 127 CDL;€ 1 760;2021.01.11;;;;;;;;;;;;;;;;
;1;CAPSICUM CORNO WHITE II;KOPFSALAT;KOPFSALAT;TESCO 004/STK;;;;;;;;;;2021.01.08;ALMERIA;LOG059;LIVIU;BH 78 CDL / B 127 CDL;€ 1 760;2021.01.11;;;;;;;;;;;;;;;;
;1;CUCUMBER DUTCH I 12PZS;KOPALMERIA;VEGS&BAGS;VEGS&BAGS;FRIDAY UP ALMERIA;;€ 0,85;;KG;;;;;2021.01.08;ALMERIA;LOG059;LIVIU;BH 78 CDL / B 127 CDL;€ 1 760;2021.01.11;;;;;;;;;;;;;;;;
;2;TOM. PEAR STD M;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.08;BARCELONA;GHU 112;BVT;RYE 240 / WAN 720;€ 1 200;2021.01.10;;;;;;;;;;;;;;;;
;5;CAPSICUM KAPIA I;KOPFSALAT;GHU;TESCO;;;;;;;;;;2021.01.08;BARCELONA;GHU 112;BVT;RYE 240 / WAN 720;€ 1 200;2021.01.10;;;;;;;;;;;;;;;;
;1;MANDARIN;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.08;BARCELONA;GHU 112;BVT;RYE 240 / WAN 720;€ 1 200;2021.01.10;;;;;;;;;;;;;;;;
;1;CUCUMBER DUTCH I FILM;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.08;BARCELONA;GHU 112;BVT;RYE 240 / WAN 720;€ 1 200;2021.01.10;;;;;;;;;;;;;;;;
;1;CAPSICUM CAL. YELLOW I;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.08;BARCELONA;GHU 112;BVT;RYE 240 / WAN 720;€ 1 200;2021.01.10;;;;;;;;;;;;;;;;
;2;AUBERGINE II;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.08;BARCELONA;GHU 112;BVT;RYE 240 / WAN 720;€ 1 200;2021.01.10;;;;;;;;;;;;;;;;
;1;CAPSICUM CAL. RED STD;KOPALMERIA;VEGS&BAGS;VEGS&BAGS;SATURDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;;;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;1;CAPSICUM CORNO WHITE II;KOPFSALAT;KOPFSALAT;TESCO 005/STK;SATURDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;;;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
2;;BIO TOM. CHERRY PEAR 9X250GR;KOPALMERIA;GHU;ALDI;SATURDAY UP ALMERIA;;€ 0,85;;PZS;€ 0,00; € -   ;KOP056-01/1695;1;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;4,5;CAPSICUM CAL. RED I;COCO;GHU;ALDI;SATURDAY UP ALMERIA;;€ 0,95;;KG;€ 0,00; € -   ;COC010-A20-105;3;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;1,5;CAPSICUM CAL. RED II;COCO;GHU;ALDI/GHUBU/GHUSZ;SATURDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;COC010-A20-105;3;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;1;CAPSICUM PALERMO II;COCO;GHU;GHUBU/GHUSZ;SATURDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;COC010-A20-105;3;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;0,5;CAPSICUM CORNO WHITE II;DELGAFRUITS;GHU;GHUBU/GHUSZ;SATURDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;DEL002-001596;4;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;0,5;CAPSICUM PALERMO II;DELGAFRUITS;GHU;GHUBU/GHUSZ;SATURDAY UP ALMERIA;;€ 0,80;;KG;€ 0,00; € -   ;DEL002-001596;4;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;2;TOM. PEAR ;DELGAFRUITS;GHU;GHUBU/GHUSZ;SATURDAY UP ALMERIA;;€ 0,78;;KG;€ 0,00; € -   ;DEL002-001596;4;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;3;CUCUMBER DUTCH I FILM 16 PZS;FRANIAL;GHU;ALDI;;;€ 2,00;;KG;€ 0,00; € -   ;FRA002-010915;5;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
2;;TOM PEAR PACKAGE 10*500GR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
1;;CAPSICUM SPICY RED PACKAGE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
4;;MANDARIN 900GR;FRUBALMED;GHU;ALDI;SATURDAY UP VALENCIA;;€ 0,85;;PZS;€ 0,00; € -   ;FRU061-5/AL21;2;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
5;;MANDARIN 2,3KG;FRUBALMED;GHU;ALDI;SATURDAY UP VALENCIA;;€ 1,65;;PZS;€ 0,00; € -   ;FRU061-6/AL21;2;2021.01.09;ALMERIA;GHU 110;KÓNYA;SFB 842 / WCG 914;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
5;2;CAPSICUM CAL. RED II;KOPFSALAT;GHU;GHUBU/GHUSZ/ALDI/ZSOLTI;;;;;;;;;;2021.01.09;ALMERIA;GHU 111;KÓNYA;SFB 847 / WEH 573;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
;1;CAPSICUM CAL. YELLOW II;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.09;ALMERIA;GHU 111;KÓNYA;SFB 847 / WEH 573;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
6;;CUCUMBER DUTCH II;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2021.01.09;ALMERIA;GHU 111;KÓNYA;SFB 847 / WEH 573;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
5;;CUCUMBER DUTCH I FILM;KOPFSALAT;GHU;ALDI;;;;;;;;;;2021.01.09;ALMERIA;GHU 111;KÓNYA;SFB 847 / WEH 573;€ 3 300;2021.01.12;;;;;;;;;;;;;;;;
