N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
3;2;TOM. BUNCH I MM;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
;2;CAPSICUM CORNO WHITE II;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
;2;TOMATO LONGLIFE M;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
2;;TOM. PEAR MM;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
;1;TOM. PEAR STD MM;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
;1;CAPSICUM CORNO WHITE STD PLASTIC;COSTA;GHU;GHUSZ;THURSDAY UP ALMERIA;;€ 0,76;;KG;€ 0,00; € -   ;COS030-06-1318;1;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
;1;CUCUMBER DUTCH I 18PZS;AGRICOLA GUAINOS;GHU;GHUBU/GHUSZ;THURSDAY UP ALMERIA;;€ 0,90;;KG;€ 0,00; € -   ;AGR014-A-000108-21;2;2021.02.11;ALMERIA;GHU 149;KÓNYA;RCG 083 / WEW 304;€ 3 300;2021.02.14;;;;;;;;;;;;;;;;
7;;CUCUMBER DUTCH II;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
3;;TOM. PEAR MMM;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
2;;CAPSICUM PALERMO II;KOPFSALAT;GHU;;;;;;;;;;;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
