N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
3;;SPAR HU ÜLLŐ V/ 2931;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 2931;MONDAY NIGHT;;;;;;;;;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
3;;PARAGUAYO 5KG;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA; AGROSCARP ;;€ 1,10;KG;€ 0,00; € -   ;        FRU322-121/AL22;1;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
5;;PARAGUAYO 5KG;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA; CASAS ;;€ 1,10;KG;€ 0,00; € -   ;FRU322-121/AL22;1;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
2;;NECTARIN 10*1KG;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA; CASAS ;;€ 0,90;KG;€ 0,00; € -   ;FRU322-121/AL22;1;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
1;;LEMON 10*400GR;HISPA;GHU;SPAR HU;FRIDAY UP BARCELONA;;;€ 0,57;CAJA;€ 10,00; € -   ;HIS148-038/012201777;2;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
;1;PARAGUAYO LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
;6;LEMON;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
;1;BLUEBERRY 12*125GR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
;1;PARAGUAYO LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
;1;APRICOT LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.28;LERIDA / BARCELONA;GHU 307;KÓNYA;RRJ 470 / WEH 572;€ 2 700;2022.07.31;;;;;;;;;;;;;;;;
